year,leg,block,sub,sta,date,z1,z2,z3,z4,z5,z6,z7,z8,fu,bft,per.cld,angle,mean,sd,eu.mn,eu.sd,X,Y
2014,01,CAA,S,3,2014-08-21 16:36:39,2.56,2.75,2.99,3.03,2.64,2.79,2.3,2.33,16,2, 20,SLITE,2.67375,0.272078638842313,8.7431625,0.889697149014363,-129.2332067,52.84456
2014,01,CAA,N,12,2014-08-21 12:03:18,5.66,6.29,6.52,6.5,6.19,6.79,6.32,6.44,12,0, 50,     ,6.33875,0.329130347604541,20.7277125,1.07625623666685,-129.4379834,52.99319334
2014,01,CMP,S,2,2014-08-22 12:06:47,6.51,7.61,7.49,7.87,7.73,7.49,7.36,7.68,12,3, 00,     ,7.4675,0.418458053880126,24.418725,1.36835783618801,-129.2455667,52.958
2014,01,CMP,C,6,2014-08-22 15:02:12,8.41,8.31,8.01,8.08,8.04,8.33,8.04,7.89,12,2, 20,SLITE,8.13875,0.185506064590892,26.6137125,0.606604831212215,-129.25321,53.03055
2014,01,CMP,N,9,2014-08-22 18:48:40,6.21,6.28,5.82,4.69,5.35,5.68,5.6,5.5,12,0, 75,SLITE,5.64125,0.5037413593729,18.4468875,1.64723424514938,-129.20309,53.08879333
2014,01,EST,S,2,2014-08-20 12:26:32,8.06,8.93,8.57,8.72,8.22,8.67,7.63,8.79,12,0, 15,VERTI,8.44875,0.440630635728903,27.6274125,1.44086217883351,-129.5313183,53.06380333
2014,01,EST,S,6,2014-08-20 10:27:39,7.51,7.76,7.88,7.59,8.04,8.1,7.69,8.15,14,0, 35,VERTI,7.84,0.240713225940863,25.6368,0.787132248826621,-129.6111533,53.12575
2014,01,EST,C,9,2014-08-20 09:06:40,5.99,6.16,5.55,5.89,5.96,6.12,6.85,6.25,12,1, 20,VERTI,6.09625,0.371711773901692,19.9347375,1.21549750065853,-129.6396633,53.18622333
2014,01,MCK,N,10,2014-08-17 09:46:38,4.61,4.68,4.53,4.19,4.75,4.92,4.04,4.53,12, ,   ,VERTI,4.53125,0.289108852461194,14.8171875,0.945385947548105,-128.91876,53.41856667
2014,01,SQU,C,7,2014-08-13 09:23:55,7.03,7.02,7.17,7.02,7.09,6.85,6.85,7.09,12,0, 00,     ,7.015,0.113389341902768,22.93905,0.370783148022052,-129.4092634,53.17548667
2014,01,SQU,N,12,2014-08-12 13:11:00,4.29,4.93,4.88,4.6,4.61,4.59,4.61,4.57,14,1,  0,ACUTE,4.635,0.198134153686695,15.15645,0.647898682555493,-129.4328517,53.254376
2014,01,VER,S,3,2014-08-11 13:24:28,3.84,4,3.81,3.94,3.65,3.57,3.66,3.92,12,3,020,VERTI,3.79875,0.156153541655092,12.4219125,0.510622081212151,-129.1221667,53.41916667
2014,01,VER,C,6,2014-08-11 11:16:25,5.31,6.33,5.73,6.33,6.13,NA,6.07,6.55,12,1,080,SLITE,6.06428571428571,0.420747633895393,19.8302142857143,1.37584476283793,-129.0766567,53.496009
2014,01,VER,N,9,2014-08-11 09:28:18,6.23,6.41,6.03,5.71,5.59,6.08,5.76,5.5,17,1,100,ACUTE,5.91375,0.322620409415506,19.3379625,1.0549687387887,-128.9811667,53.51603333
2014,01,WHA,S,3,2014-08-14 10:45:10,4.23,4.61,4.51,4.8,4.84,4.25,4.74,4.41,12,1, 00,     ,4.54875,0.239012103698298,14.8744125,0.781569579093433,-129.1260667,53.14268333
2014,01,WHA,C,6,2014-08-14 13:47:10,4.64,4.84,4.52,4.53,4.93,4.63,4.66,4.91,14,1, 00,VERTI,4.7075,0.163685238011426,15.393525,0.535250728297363,-129.0706667,53.22346667
2014,01,WHA,N,9,2014-08-14 15:51:51,3.03,2.88,3.91,4.01,3.94,3.09,3.51,3.82,12,1,  5,VERTI,3.52375,0.461857662056179,11.5226625,1.51027455492371,-129.1680967,53.30986
2014,01,WRI,S,1,2014-08-19 19:25:25,4.21,4.44,4.56,4.49,4.16,4.56,4.26,4.49,12,0, 15,VERTI,4.39625,0.161328192558789,14.3757375,0.52754318966724,-129.3152,53.25
2014,01,WRI,C,4,2014-08-19 15:23:16,7.49,7.79,7.78,7.98,7.89,8.28,7.7,7.8,12,0, 15,VERTI,7.83875,0.228500547045297,25.6327125,0.74719678883812,-129.30909,53.35845
2014,01,WRI,N,10,2014-08-18 08:01:16,5.31,5.09,4.94,5.49,5.16,5.36,5.09,5.06,14,1,100,VERTI,5.1875,0.182658932752509,16.963125,0.597294710100705,-129.2065,53.44223333
2014,02,CAA,N,12,2014-09-09 08:05:53,7.07,7.13,7.04,7.32,7.77,7.52,7.14,7.25,NA,2,0,     ,7.28,0.251850295669017,23.8056,0.823550466837687,-129.4379834,52.99319334
2014,02,CMP,S,2,2014-09-05 14:56:44,4.51,4.8,4.98,5.41,4.19,5.22,5.08,4.14,12,2, 10,VERTI,4.79125,0.470635967904828,15.6673875,1.53897961504879,-129.2455667,52.958
2014,02,CMP,C,6,2014-09-05 10:54:38,5.51,4.61,4.62,4.59,4.61,4.58,4.9,4.88,12,1, 15,SLITE,4.7875,0.319899537801658,15.655125,1.04607148861142,-129.25321,53.03055
2014,02,CMP,N,9,2014-09-04 17:47:44,3.05,3.19,3.44,3.22,3.25,3.52,3.82,3.25,12,1,35,SLITE,3.3425,0.242000590318052,10.929975,0.79134193034003,-129.20309,53.08879333
2014,02,EST,N,12,2014-09-08 07:57:34,6.22,6.51,6.65,6.04,6.29,6.47,5.95,6.26,12,0,NA,VERTI,6.29875,0.237152000684311,20.5969125,0.775487042237697,-129.50155,53.20103
2014,02,MCK,S,2,2014-09-12 10:57:02,4.06,4.3,4.23,4.64,4.1,4.17,4.34,4.21,12,3,0,     ,4.25625,0.181023873721515,13.9179375,0.591948067069353,-129.06587,53.31832667
2014,02,MCK,C,6,2014-09-14 09:16:02,5.95,5.49,5.64,5.94,5.83,5.43,5.99,5.99,12,0,NA,VERTI,5.7825,0.23032585612562,18.908775,0.753165549530778,-128.8981133,53.31539
2014,02,MCK,N,10,2014-09-12 14:16:32,5.22,5.42,5.81,5.44,5.43,5.41,5.31,5.39,12,1,33,VERTI,5.42875,0.171167211479636,17.7520125,0.559716781538408,-128.91876,53.41856667
2014,02,SQU,S,1,2014-08-27 12:12:00,7,7.74,7.31,8.08,8.32,7.38,7.31,7.28,12,1,100,VERTI,7.5525,0.451877037636188,24.696675,1.47763791307034,-129.3333333,53.08333333
2014,02,SQU,C,5,2014-08-27 16:05:37,7.41,9.68,9.92,10,10.82,10.28,9.79,9.99,12,1,40,VERTI,9.73625,1.00394845485214,31.8375375,3.2829114473665,-129.403865,53.14898167
2014,02,SQU,N,12,2014-08-28 10:13:14,8.81,8.92,8.13,9.04,9.03,9.01,8.89,9.01,12,0,0,VERTI,8.855,0.303785638708801,28.95585,0.993379038577781,-129.4328517,53.254376
2014,02,VER,S,3,2014-09-13 17:34:26,5.02,5.04,5.95,5.27,5.22,5.89,5.85,5.66,12,1,15,VERTI,5.4875,0.391836336096736,17.944125,1.28130481903633,-129.1221667,53.41916667
2014,02,VER,C,6,2014-09-13 15:50:34,4.22,4.04,4.96,4.89,4.85,5.24,5.81,5.79,12,2,10,SLITE,4.975,0.643539320587994,16.26825,2.10437357832274,-129.0766567,53.496009
2014,02,VER,N,9,2014-09-13 14:01:25,4.66,3.96,3.95,4.36,4.4,4.92,5.22,5.12,12,2,5,SLITE,4.57375,0.490624601910667,14.9561625,1.60434244824788,-128.9811667,53.51603333
2014,02,WHA,S,3,2014-09-06 10:14:09,2.89,3.22,3.15,3.16,2.87,2.9,2.51,3.23,12,2,0,VERTI,2.99125,0.247238317649764,9.7813875,0.80846929871473,-129.1260667,53.14268333
2014,02,WHA,C,6,2014-09-06 13:25:12,2.4,1.97,2.22,1.92,2.23,2.22,2.77,2.51,14,1,15,VERTI,2.28,0.278465181203786,7.4556,0.910581142536379,-129.0706667,53.22346667
2014,02,WHA,N,9,2014-09-06 16:20:24,2.73,2.42,2.66,2.96,2.88,2.87,2.73,2.82,14,1,40,VERTI,2.75875,0.167965770322408,9.0211125,0.549248068954275,-129.1680967,53.30986
2014,02,WRI,S,1,2014-09-07 18:01:41,5.29,5.28,5.46,5.77,5.38,5.96,6.16,5.8,12,0,100,     ,5.6375,0.331091269246757,18.434625,1.0826684504369,-129.3152,53.25
2014,02,WRI,C,4,2014-09-07 10:42:09,3.66,3.86,4.11,3.96,4.62,4.84,5.14,4.96,12,0,100,     ,4.39375,0.563127427852702,14.3675625,1.84142668907834,-129.30909,53.35845
2014,02,WRI,N,10,2014-09-06 18:52:59,2.94,2.71,2.59,2.81,2.77,3.36,3.16,3.16,12,1,75,VERTI,2.9375,0.265746925798641,9.605625,0.868992447361557,-129.2065,53.44223333
